id,type,date_created,title,description,covid_flag,date_modified,date_published,attributes.original_publication_date,attributes.doi,attributes.is_published,attributes.is_preprint_orphan,tags,attributes.preprint_doi_created,date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.self.href,relationships.node.links.related.href,relationships.node.data.id,relationships.node.data.type,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,links.self,links.html,links.preprint_doi,links.doi,attributes.withdrawal_justification,relationships.identifiers.data,relationships.files.data,relationships.requests.data,attributes.license_record
84ygx,preprints,2020-11-29,The potential impact of co-residence structures on socio-demographic inequalities in COVID-19 mortality,"During the COVID-19 pandemic, confinement measures were adopted across the world to limit
the spread of the virus. In France, these measures were applied between March 17 and May 10. Using
high-quality population census data and focusing on co-residence structures on French territory, this
article analyses how co-residence patterns unevenly put different socio-demographic groups at risk of
being infected and dying from COVID-19. The research ambition is to quantify the possible impact
of co-residence structures heterogeneity on socioeconomic inequalities in mortality stemming from
within-household transmission of the virus. Using a simulation approach, the article highlights the
existence of theoretical pronounced inequalities of vulnerability to COVID-19 related to cohabitation
structures as well as a reversal of the social gradient of vulnerability when the age of the infected
person increases. Among young age categories, infection is simulated to lead to more deaths in the
less educated or foreign-born populations. Among the older ones, the inverse holds with infections
having a greater potential to provoke deaths through the transmission of the virus within households
headed by a highly educated or a native-born person. Demographic patterns such as the cohabitation
of multiple generations and the survival of both partners of a couple help to explain these results.
Even though inter-generational co-residence and large households are more common among the lower
educated and foreign born in general, the higher educated are more likely to still live with their
partner at higher ages.",TRUE,2021-03-22,2020-11-30,NA,NA,TRUE,FALSE,Age|COVID-19|Demography|Education|Household structure|Mortality|Nativity|Social Inequalities,2020-11-30T05:32:21.736038,NA,NA,TRUE,accepted,2020-11-30,FALSE,NA,available,NA,https://international.ipums.org/international-action/variables/group,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d96|Social and Behavioral Sciences|Other Social and Behavioral Sciences|5a8c80f7c698300375c76d84|5a8c80f9c698300375c76e0c|Social and Behavioral Sciences|Social Statistics,Julien Giorgi,2020,https://api.osf.io/v2/preprints/84ygx/contributors/,https://api.osf.io/v2/preprints/84ygx/bibliographic_contributors/,https://api.osf.io/v2/preprints/84ygx/citation/,84ygx,preprints,https://api.osf.io/v2/preprints/84ygx/identifiers/,https://api.osf.io/v2/preprints/84ygx/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/84ygx/files/,https://api.osf.io/v2/files/5fc3df15ab6518036cb146e7/,5fc3df15ab6518036cb146e7,files,https://api.osf.io/v2/preprints/84ygx/review_actions/,https://api.osf.io/v2/preprints/84ygx/requests/,https://api.osf.io/v2/preprints/84ygx/,https://osf.io/preprints/socarxiv/84ygx/,https://doi.org/10.31235/osf.io/84ygx,NA,NA,NA,NA,NA,NA
s45yg,preprints,2020-11-28,The Generalizability of Online Experiments Conducted During The COVID-19 Pandemic,"The COVID-19 pandemic imposed new constraints on empirical research, and on- line data collection by social scientists increased. Generalizing from experiments con- ducted during this period of persistent crisis may be challenging due to changes in how participants respond to treatments or the composition of online samples. We investigate the generalizability of COVID-era survey experiments with 33 replications of 12 pre-pandemic designs, fielded across 13 quota samples of Americans between March and July of 2020. We find strong evidence that pre-pandemic experiments replicate in terms of sign and significance, but at somewhat reduced magnitudes. Indirect evidence suggests an increased share of inattentive subjects on online platforms during this period, which may have contributed to smaller estimated treatment effects. Overall, we conclude that the pandemic does not pose a fundamental threat to the generalizability of online experiments to other time periods.",TRUE,2021-05-11,2020-11-30,NA,NA,TRUE,FALSE,causal effects|covid-19|experiment|external validity|generalizability|meta-analysis|online experiments|pandemic|replication|survey experiments,2020-11-30T05:23:01.842812,NA,NA,TRUE,accepted,2020-11-30,FALSE,NA,no,"The replication archive will be created upon publication, pursuant to journal guidelines.",NA,no,Experiments in manuscript are replications from previously published papers.,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76da1|Social and Behavioral Sciences|Psychology|Experimental Analysis of Behavior|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db1|Social and Behavioral Sciences|Political Science|Models and Methods,NA,2020,https://api.osf.io/v2/preprints/s45yg/contributors/,https://api.osf.io/v2/preprints/s45yg/bibliographic_contributors/,https://api.osf.io/v2/preprints/s45yg/citation/,s45yg,preprints,https://api.osf.io/v2/preprints/s45yg/identifiers/,https://api.osf.io/v2/preprints/s45yg/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/s45yg/files/,https://api.osf.io/v2/files/5fc2a29cc623190358d83509/,5fc2a29cc623190358d83509,files,https://api.osf.io/v2/preprints/s45yg/review_actions/,https://api.osf.io/v2/preprints/s45yg/requests/,https://api.osf.io/v2/preprints/s45yg/,https://osf.io/preprints/socarxiv/s45yg/,https://doi.org/10.31235/osf.io/s45yg,NA,NA,NA,NA,NA,NA
p63nw,preprints,2020-11-26,Supporting Australia’s housing system: modelling pandemic policy responses,"This research considered the economic literature relating to pandemics and modelled a range of related economic outcomes on employment and unemployment by sector and on the housing outcomes of home owners, private renters, and small investor landlords in Australia from late 2020 and through 2021.",TRUE,2020-11-28,2020-11-28,2020-11-25T13:00:00,10.18408/ahuri3125701,TRUE,FALSE,Commonwealth Rent Assistance|Coronavirus|COVID-19|Housing Affordability Stress|Housing and the economy|Income Support|JobKeeper|JobSeeker|Rental Investors|Rent Relief;|tax and housing policy,2020-11-28T18:50:21.133032,NA,NA,TRUE,accepted,2020-11-28,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d97|Social and Behavioral Sciences|Urban Studies and Planning|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration",NA,2020,https://api.osf.io/v2/preprints/p63nw/contributors/,https://api.osf.io/v2/preprints/p63nw/bibliographic_contributors/,https://api.osf.io/v2/preprints/p63nw/citation/,p63nw,preprints,https://api.osf.io/v2/preprints/p63nw/identifiers/,https://api.osf.io/v2/preprints/p63nw/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/p63nw/files/,https://api.osf.io/v2/files/5fbef1baab651801a1b12e55/,5fbef1baab651801a1b12e55,files,https://api.osf.io/v2/preprints/p63nw/review_actions/,https://api.osf.io/v2/preprints/p63nw/requests/,https://api.osf.io/v2/preprints/p63nw/,https://osf.io/preprints/socarxiv/p63nw/,https://doi.org/10.31235/osf.io/p63nw,https://doi.org/10.18408/ahuri3125701,NA,NA,NA,NA,NA
kjb2f,preprints,2020-11-25,How Families Matter for Health Inequality during the COVID-19 Pandemic,"A version of this article has been published in the Journal of Family Theory and Review, https://doi.org/10.1111/jftr.12398                                          
 We theorize that social conditions surrounding the COVID-19 pandemic have the potential to increase the importance of families for health and widen existing inequalities. We suggest three primary tenets important for understanding families and health during COVID-19. First, risks of specific COVID-19 outcomes and other health problems are unevenly distributed across families. Second, how families impact health during the COVID-19 pandemic is conditional on public policies, organizational decisions, and concurrent events. Third, many health inequalities driven by racism, sexism, classism, and other oppressive societal force are amplified during COVID-19, but the extent to which this is occurring is shaped by families and by the public policies, organizational decisions, and concurrent events that also impact families and health. As health disparities continue to emerge from this pandemic, we call on researchers and policy-makers to pay attention to the multiple ways that families matter.",TRUE,2020-12-28,2020-11-26,NA,NA,TRUE,FALSE,covid-19|families|health|health disparities|health inequalities|pandemic|public policy,2020-11-26T01:34:41.363236,NA,NA,TRUE,accepted,2020-11-26,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4c|Social and Behavioral Sciences|Sociology|Family|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4e|Social and Behavioral Sciences|Sociology|Medical Sociology,NA,2020,https://api.osf.io/v2/preprints/kjb2f/contributors/,https://api.osf.io/v2/preprints/kjb2f/bibliographic_contributors/,https://api.osf.io/v2/preprints/kjb2f/citation/,kjb2f,preprints,https://api.osf.io/v2/preprints/kjb2f/identifiers/,https://api.osf.io/v2/preprints/kjb2f/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/5ad7979bc69830002d8190e3/,5ad7979bc69830002d8190e3,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/kjb2f/files/,https://api.osf.io/v2/files/5fbe8c93c623190185d80f40/,5fbe8c93c623190185d80f40,files,https://api.osf.io/v2/preprints/kjb2f/review_actions/,https://api.osf.io/v2/preprints/kjb2f/requests/,https://api.osf.io/v2/preprints/kjb2f/,https://osf.io/preprints/socarxiv/kjb2f/,https://doi.org/10.31235/osf.io/kjb2f,NA,NA,NA,NA,NA,NA
rwn4v,preprints,2020-11-25,Using Distance EdTech for Remote Foreign Language Teaching During the COVID-19 Lockdown in Ukraine,"The situation with a coronavirus challenged the education system and forced educators to shift to a fully E-learning. Many academic institutions were not ready for such a rapid change. The remote learning of foreign languages during the COVID-19 lockdown caused modern teaching technologies to expand the scope of the educational process, broaden its practical orientation, contribute to the intensification of students' independent work, increasing their cognitive activity. The goals of the article include: to define types and specifics of modern edTech for the educational process on the way of transition from no E-Learning to fully E-Learning; to eliminate the role of the Internet as means of information and communication edTech in teaching foreign languages at higher education establishments; to find out the ways of improving students' learning at higher educational establishments, the importance of using distance edTechs and Strengths, Weaknesses, Opportunities, &amp; Challenges (SWOC) analysis of E-learning techniques during the pandemic lockdown. This article also provides the examples of usage of different edTechs in Ukrainian higher education establismens in general. Drohobych Ivan Franko State Pedagogical University, Lviv State University of Life Safety, Odesa National Maritime University in particular.",TRUE,2020-12-01,2020-12-01,NA,10.24093/awej/elt3.1,TRUE,FALSE,distance edTech|E-Learning|foreign language teaching|remote learning|SWOC analysis|the COVID-19 lockdown|Ukraine,2020-12-01T06:23:43.214182,NA,NA,TRUE,accepted,2020-12-01,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,5a8c80f2c698300375c76c7d|5a8c80f5c698300375c76d10|Arts and Humanities|English Language and Literature,NA,2020,https://api.osf.io/v2/preprints/rwn4v/contributors/,https://api.osf.io/v2/preprints/rwn4v/bibliographic_contributors/,https://api.osf.io/v2/preprints/rwn4v/citation/,rwn4v,preprints,https://api.osf.io/v2/preprints/rwn4v/identifiers/,https://api.osf.io/v2/preprints/rwn4v/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/rwn4v/files/,https://api.osf.io/v2/files/5fbdb850ab6518010cb0ed77/,5fbdb850ab6518010cb0ed77,files,https://api.osf.io/v2/preprints/rwn4v/review_actions/,https://api.osf.io/v2/preprints/rwn4v/requests/,https://api.osf.io/v2/preprints/rwn4v/,https://osf.io/preprints/socarxiv/rwn4v/,https://doi.org/10.31235/osf.io/rwn4v,https://doi.org/10.24093/awej/elt3.1,NA,NA,NA,NA,NA
ax783,preprints,2020-11-24,The Perceived Deservingness of COVID-19 Health Care: A Conjoint Experiment on Priority Access to Intensive Care and a Vaccine,"Amidst the COVID-19 pandemic, governments, supported by health experts and ethicists, released guidelines about which groups should receive priority access to both (intensive) care and vaccines as resources are limited. To achieve political legitimacy, support from the general public is important, as deservingness theory informs us that not all groups are equally perceived as deserving of assistance. Relying on a probability-based sample representative of the Dutch population (N = 1,601), participants were offered two choice-based conjoint experiments that measured what deservingness criteria matter most in respectively priority access to intensive care, and priority access to a COVID-19 vaccine. The results foremost show that noncompliance with government measures aimed at preventing the spread of the coronavirus impedes perceived deservingness. By contrast, being employed in the ‘crucial’ sector (i.e. health care and to a lesser extent education), leads to a higher perceived priority. Having an unhealthy BMI leads to less support for priority access to intensive care and vaccines. Age shows mixed patterns: public opinion would give less priority to elderly patients for intensive care. These results indicate that, control and reciprocity over need are important criteria to determine people’s deservingness of COVID-19 health care. We discuss our findings in light of ongoing ethical discussions.",TRUE,2020-11-28,2020-11-28,NA,NA,TRUE,FALSE,conjoint experiment|COVID-19|deservingness theory|ICU|LISS Panel|Netherlands|vaccine|vignette experiment,2020-11-28T18:43:41.704608,NA,NA,TRUE,accepted,2020-11-28,FALSE,NA,no,NA,NA,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d98|5a8c80f7c698300375c76da2|Social and Behavioral Sciences|Psychology|Social Psychology|5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4e|Social and Behavioral Sciences|Sociology|Medical Sociology,NA,2020,https://api.osf.io/v2/preprints/ax783/contributors/,https://api.osf.io/v2/preprints/ax783/bibliographic_contributors/,https://api.osf.io/v2/preprints/ax783/citation/,ax783,preprints,https://api.osf.io/v2/preprints/ax783/identifiers/,https://api.osf.io/v2/preprints/ax783/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/ax783/files/,https://api.osf.io/v2/files/5fbd771fa7256300f883286c/,5fbd771fa7256300f883286c,files,https://api.osf.io/v2/preprints/ax783/review_actions/,https://api.osf.io/v2/preprints/ax783/requests/,https://api.osf.io/v2/preprints/ax783/,https://osf.io/preprints/socarxiv/ax783/,https://doi.org/10.31235/osf.io/ax783,NA,NA,NA,NA,NA,NA
ax9vm,preprints,2020-11-23,"Social and Non Social Media Users During The COVID-19 Pandemic Confinement Period in Canada: The ""Plugged-In"", Unplugged and Other Population Segments","Canadians are using a variety of social and non-social media vehicles to gather information, share experiences and express anxieties during the COVID-19 confinement period. The purpose of the study is to produce a portrait of media use in Canada, paying special attention to the typical population segments in the Canadian population differentiated by their media vehicles and sources of information about the pandemic. The study used as its data source a survey sample of 4,600 adult Canadians aged 15 years old and over during the period of July 20-26 2020, and collected by Statistics Canada. Media user activities comprised a set of 11 dichotomous scales collecting data on main sources of information such as social media posts, online news, online magazines, video platforms, e-mails as well as non internet-based sources.  A market segmentation analysis of these scales using Principal Components and k-means cluster analysis revealed the presence of six major population segments: Social Media Buffs (27%), News Followers (33%), Unplugged (10%),Plugged-In (9%), E-Mailers (7%) and Mixed Source Users (16%). The segment mottos were as follows: ""Social Media Influencers Know Their Stuff!"", ""Track Those Headlines!"", ""I’ve Got My Own Info Sources About The Pandemic!"", ""Did You Read The Last Blog?"" ""My People Know Better!"" and ""Better Info Means More Choices!"". This study suggests that  media users in Canada constitute a very diverse group of individuals who are engaged in social and non social media to obtain timely information about the pandemic. However, they can also be exposed to inaccurate, misleading information about the virus, its transmission and its treatments. In this light, market segmentation may be  a useful tool for decision makers to categorize population members by their typical attitudinal traits and, by doing so, facilitate better public campaigns directed at population segments, help design messages, and implement changes that can promote more efficient ways to deal with their target audiences.",TRUE,2020-11-24,2020-11-24,2020-11-23T05:00:00,NA,TRUE,FALSE,Canada|COVID-19 Pandemic|Marketing Segmentation,2020-11-24T06:45:03.106375,NA,NA,TRUE,accepted,2020-11-24,FALSE,NA,available,NA,https://www.fern2350.com/how-is-the-covid-19-pandemic-changing-the-lives-of-canadians.html,not_applicable,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e39|Social and Behavioral Sciences|Sociology|Collective Behavior and Social Movements,Fernando Mata,2020,https://api.osf.io/v2/preprints/ax9vm/contributors/,https://api.osf.io/v2/preprints/ax9vm/bibliographic_contributors/,https://api.osf.io/v2/preprints/ax9vm/citation/,ax9vm,preprints,https://api.osf.io/v2/preprints/ax9vm/identifiers/,https://api.osf.io/v2/preprints/ax9vm/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/ax9vm/files/,https://api.osf.io/v2/files/5fbbbe9d5502ac05248c66a0/,5fbbbe9d5502ac05248c66a0,files,https://api.osf.io/v2/preprints/ax9vm/review_actions/,https://api.osf.io/v2/preprints/ax9vm/requests/,https://api.osf.io/v2/preprints/ax9vm/,https://osf.io/preprints/socarxiv/ax9vm/,https://doi.org/10.31235/osf.io/ax9vm,NA,NA,NA,NA,NA,NA
8tvxk,preprints,2020-11-20,The lived experience of COVID-19: housing and household resilience,"This study investigated housing outcomes during the first three months of the COVID-19 pandemic, and evaluated the complex interrelated impacts it is having on Australian households with a range of vulnerabilities. COVID-19 has exacerbated vulnerabilities such as poor housing quality and location; housing affordability; energy poverty and a range of social, mental and physical health conditions.",TRUE,2020-11-22,2020-11-22,2020-11-19T13:00:00,10.18408/ahuri5325601,TRUE,FALSE,COVID-19|housing policy|housing stress|lived experience|longitudinal|resilience|urban planning|wellbeing|working from home,2020-11-22T22:08:21.723021,NA,NA,TRUE,accepted,2020-11-22,FALSE,NA,not_applicable,NA,NA,not_applicable,NA,NA,NA,"5a8c80f7c698300375c76d84|5a8c80f7c698300375c76d97|Social and Behavioral Sciences|Urban Studies and Planning|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration",NA,2020,https://api.osf.io/v2/preprints/8tvxk/contributors/,https://api.osf.io/v2/preprints/8tvxk/bibliographic_contributors/,https://api.osf.io/v2/preprints/8tvxk/citation/,8tvxk,preprints,https://api.osf.io/v2/preprints/8tvxk/identifiers/,https://api.osf.io/v2/preprints/8tvxk/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/8tvxk/files/,https://api.osf.io/v2/files/5fb74e9677aa65036e94d0ad/,5fb74e9677aa65036e94d0ad,files,https://api.osf.io/v2/preprints/8tvxk/review_actions/,https://api.osf.io/v2/preprints/8tvxk/requests/,https://api.osf.io/v2/preprints/8tvxk/,https://osf.io/preprints/socarxiv/8tvxk/,https://doi.org/10.31235/osf.io/8tvxk,https://doi.org/10.18408/ahuri5325601,NA,NA,NA,NA,NA
g3abx,preprints,2020-11-19,Health and education concerns about returning to campus and online learning during the COVID-19 pandemic among US undergraduate STEM majors,"Undergraduates majoring in STEM at US universities/colleges completed an online survey in July 2020 and answered open-ended questions about their concerns about returning to campus and about learning online from home in Fall 2020. Students’ concerns about returning to campus included student noncompliance with university COVID-19 prevention guidelines, infection risk, poor instructional quality, inadequate university plans for preventing/handling outbreaks, negative impacts on social interactions, and transportation/commuting. Concerns about online learning from home included difficulty focusing on schoolwork, lack of hands-on/experiential learning, negative impacts on social interactions, family/home environment, concerns that online learning wastes time/money, and inadequate technology/Internet access. Universities should address student concerns and provide resources to overcome barriers to effective learning.",TRUE,2020-11-20,2020-11-20,NA,NA,TRUE,FALSE,college administration|college students|COVID19|health equity|home environment|Internet access|online learning|STEM|undergraduates,2020-11-20T02:58:41.331778,NA,NA,TRUE,accepted,2020-11-20,FALSE,NA,no,NA,NA,no,NA,NA,NA,"5a8c80f6c698300375c76d4e|5a8c80f6c698300375c76d5c|Education|Higher Education|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de2|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Health Policy|5a8c80f7c698300375c76d84|5a8c80f8c698300375c76ddb|5a8c80f9c698300375c76de9|Social and Behavioral Sciences|Public Affairs, Public Policy and Public Administration|Education Policy",NA,2020,https://api.osf.io/v2/preprints/g3abx/contributors/,https://api.osf.io/v2/preprints/g3abx/bibliographic_contributors/,https://api.osf.io/v2/preprints/g3abx/citation/,g3abx,preprints,https://api.osf.io/v2/preprints/g3abx/identifiers/,https://api.osf.io/v2/preprints/g3abx/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/g3abx/files/,https://api.osf.io/v2/files/5fb6c6895502ac033e8c420d/,5fb6c6895502ac033e8c420d,files,https://api.osf.io/v2/preprints/g3abx/review_actions/,https://api.osf.io/v2/preprints/g3abx/requests/,https://api.osf.io/v2/preprints/g3abx/,https://osf.io/preprints/socarxiv/g3abx/,https://doi.org/10.31235/osf.io/g3abx,NA,NA,NA,NA,NA,NA
6c42q,preprints,2020-11-19,"FAMILY STRUCTURE AND CONCERNS DURING THE COVID-19 PANDEMIC: A COMPUTATIONAL, MIXED-METHOD APPROACH","Family structure is a critical axis through which social inequality is reproduced. The COVID-19 pandemic can exacerbate the already existing socio-economic gaps between family structures. To investigate this issue, we analyze how experiences and concerns vary across living arrangements along two dimensions that may be associated with social disadvantage: loneliness and care. In doing so, we employ quantitative text analysis on open-ended questions from novel survey data on a sample of about 1,100 individuals living in Germany. We focus our analyses on four different household structures: Living alone, shared living without children, living with a partner and children, and single parents. We find that single parents (who are primarily single mothers) are at the high risk of experiencing care-related worries, particularly regarding their financial situation, while individuals living alone are most likely to report feelings of loneliness. Those living in shared houses, with or without children, had the lowest risk of experiencing both loneliness and care-related worries. These differences in the experiences of the COVID-19 pandemic can contribute to widening socio-economic gaps by family structure in the upcoming years.",TRUE,2021-02-18,2020-11-20,NA,NA,TRUE,FALSE,children|content analysis|Corona|COVID-19|experience|Germany|household|loneliness|partnership|topic models,2020-11-20T02:51:41.765961,NA,NA,TRUE,accepted,2020-11-20,FALSE,NA,available,NA,https://data.gesis.org/sharing/#!Detail/10.7802/2034,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80fac698300375c76e20|5a8c80fac698300375c76e4c|Social and Behavioral Sciences|Sociology|Family,NA,2020,https://api.osf.io/v2/preprints/6c42q/contributors/,https://api.osf.io/v2/preprints/6c42q/bibliographic_contributors/,https://api.osf.io/v2/preprints/6c42q/citation/,6c42q,preprints,https://api.osf.io/v2/preprints/6c42q/identifiers/,https://api.osf.io/v2/preprints/6c42q/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/6c42q/files/,https://api.osf.io/v2/files/5fb69f3677aa65030c94a70e/,5fb69f3677aa65030c94a70e,files,https://api.osf.io/v2/preprints/6c42q/review_actions/,https://api.osf.io/v2/preprints/6c42q/requests/,https://api.osf.io/v2/preprints/6c42q/,https://osf.io/preprints/socarxiv/6c42q/,https://doi.org/10.31235/osf.io/6c42q,NA,NA,NA,NA,NA,NA
3d4ny,preprints,2020-11-17,The Coronavirus Pandemic and Voter Turnout: Addressing the Impact of Covid-19 on Electoral Participation,"External shocks have been shown to be able to alter countries’ political dynamics in a deep manner. The number of works examining the impact of economic crisis, natural disasters or even terrorist attacks are numerous. However, the literature addressing the political effects of the current Coronavirus (COVID-19) pandemic is still in its infancy. Definitively, the pandemic has constituted an unpredictable external shock not only affecting the health of millions around the planet but also damaging the economic and social stability of most countries. Politically, it has forced electoral authorities in some countries to postpone elections (e.g. Kiribati, North Macedonia, Sri Lanka), to suspend voting rights for those infected with the virus (e.g. Galicia and Basque Country in Spain) or to adapt postal vote regulations (e.g. Bavaria in Germany) in order to guarantee citizens’ voting rights and diminish electoral fraud. Trying to fill a lacuna in the literature, the goal of this article is to give a first and nuanced examination on how the COVID-19 pandemic has impacted electoral participation all over the world. To that end we have collected data on all parliamentary, presidential and regional elections held worldwide during the first seven months since the COVID-19 outbreak became recognized as a health emergency of global scope and started to affect the organization of elections (March 1st-September 30th, 2020). Our results show that while voter turnout has not generally declined in comparison with those elections held before the pandemic, electoral participation is lower in polities hit by the pandemic the most, both in terms of infections and – especially - deceases. This seems to point to the fact that when faced with a choice (civic duty vs. personal risk), the fear of becoming infected will constrain voters to opt for the former.",TRUE,2020-11-18,2020-11-18,NA,NA,TRUE,FALSE,Coronavirus|COVID-19|Elections|External shocks|Voter turnout,2020-11-18T22:43:22.908042,NA,NA,TRUE,accepted,2020-11-18,FALSE,NA,no,NA,NA,no,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f8c698300375c76daf|5a8c80f8c698300375c76db2|Social and Behavioral Sciences|Political Science|Comparative Politics,Andrés Santana; José Rama; Fernando Casal Bértoa,2020,https://api.osf.io/v2/preprints/3d4ny/contributors/,https://api.osf.io/v2/preprints/3d4ny/bibliographic_contributors/,https://api.osf.io/v2/preprints/3d4ny/citation/,3d4ny,preprints,https://api.osf.io/v2/preprints/3d4ny/identifiers/,https://api.osf.io/v2/preprints/3d4ny/relationships/node/,NA,NA,NA,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e965/,563c1cf88c5e4a3877f9e965,licenses,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/3d4ny/files/,https://api.osf.io/v2/files/5fb40311def8eb01c3e7a69f/,5fb40311def8eb01c3e7a69f,files,https://api.osf.io/v2/preprints/3d4ny/review_actions/,https://api.osf.io/v2/preprints/3d4ny/requests/,https://api.osf.io/v2/preprints/3d4ny/,https://osf.io/preprints/socarxiv/3d4ny/,https://doi.org/10.31235/osf.io/3d4ny,NA,NA,NA,NA,NA,NA
