id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories
2103.03219v1,2021-02-11T18:46:03Z,2021-02-11T18:46:03Z,The Impact of COVID-19 on Stock Market Volatility in Pakistan,"This paper examines the impact of coronavirus (COVID-19) on stock market
volatility (SMV) in Pakistan by controlling the effect of exchange rate,
interest rate and government/central bank interventions to combat the pandemic.
We used the vector autoregressive (VAR) model over a sample period ranging from
February 25, 2020 to December 7, 2020. We find that a shock to total daily
coronavirus cases in Pakistan lead to a significant increase in SMV. This
result is aligned with a vast literature on pandemics and investors uncertainty
and remains robust to several robustness checks applied in our analysis.
",Ateeb Akhter Shah Syed|Kaneez Fatima,NA,http://arxiv.org/abs/2103.03219v1,http://arxiv.org/pdf/2103.03219v1,NA,NA,NA,NA,q-fin.GN,q-fin.GN
2012.05073v2,2020-12-08T11:23:02Z,2020-12-17T07:16:29Z,COVID-19 Detection in Chest X-Ray Images using a New Channel Boosted CNN,"COVID-19 is a highly contagious respiratory infection that has affected a
large population across the world and continues with its devastating
consequences. It is imperative to detect COVID-19 at the earliest to limit the
span of infection. In this work, a new classification technique CB-STM-RENet
based on deep Convolutional Neural Network (CNN) and Channel Boosting is
proposed for the screening of COVID-19 in chest X-Rays. In this connection, to
learn the COVID-19 specific radiographic patterns, a new convolution block
based on split-transform-merge (STM) is developed. This new block
systematically incorporates region and edge-based operations at each branch to
capture the diverse set of features at various levels, especially those related
to region homogeneity, textural variations, and boundaries of the infected
region. The learning and discrimination capability of the proposed CNN
architecture is enhanced by exploiting the Channel Boosting idea that
concatenates the auxiliary channels along with the original channels. The
auxiliary channels are generated from the pre-trained CNNs using Transfer
Learning. The effectiveness of the proposed technique CB-STM-RENet is evaluated
on three different datasets of chest X-Rays namely CoV-Healthy-6k,
CoV-NonCoV-10k, and CoV-NonCoV-15k. The performance comparison of the proposed
CB-STM-RENet with the existing techniques exhibits high performance both in
discriminating COVID-19 chest infections from Healthy, as well as, other types
of chest infections. CB-STM-RENet provides the highest performance on all these
three datasets; especially on the stringent CoV-NonCoV-15k dataset. The good
detection rate (97%), and high precision (93%) of the proposed technique
suggest that it can be adapted for the diagnosis of COVID-19 infected patients.
The test code is available at
https://github.com/PRLAB21/COVID-19-Detection-System-using-Chest-X-Ray-Images.
",Saddam Hussain Khan|Anabia Sohail|Asifullah Khan,NA,http://arxiv.org/abs/2012.05073v2,http://arxiv.org/pdf/2012.05073v2,NA,Pages: 26 Tables: 3 Figures: 10 Equations: 8,NA,NA,eess.IV,eess.IV|cs.CV
2104.13247v1,2021-04-27T14:57:44Z,2021-04-27T14:57:44Z,"IATos: AI-powered pre-screening tool for COVID-19 from cough audio
  samples","OBJECTIVE: Our objective is to evaluate the possibility of using cough audio
recordings (spontaneous or simulated) to detect sound patterns in people who
are diagnosed with COVID-19. The research question that led our work was: what
is the sensitivity and specificity of a machine learning based COVID-19 cough
classifier, using RT-PCR tests as gold standard?
  SETTING: The audio samples that were collected for this study belong to
individuals who were swabbed in the City of Buenos Aires in 20 public and 1
private facilities where RT-PCR studies were carried out on patients suspected
of COVID, and 14 out-of-hospital isolation units for patients with confirmed
COVID mild cases. The audios were collected through the Buenos Aires city
government WhatsApp chatbot that was specifically designed to address citizen
inquiries related to the coronavirus pandemic (COVID-19).
  PARTICIPANTS: The data collected corresponds to 2821 individuals who were
swabbed in the City of Buenos Aires, between August 11 and December 2, 2020.
Individuals were divided into 1409 that tested positive for COVID-19 and 1412
that tested negative. From this sample group, 52.6% of the individuals were
female and 47.4% were male. 2.5% were between the age of 0 and 20 , 61.1%
between the age of 21 and 40 , 30.3% between the age of 41 and 60 and 6.1% were
over 61 years of age.
  RESULTS: Using the dataset of 2821 individuals our results showed that the
neural network classifier was able to discriminate between the COVID-19
positive and the healthy coughs with an accuracy of 88%. This accuracy obtained
during the training process was later tested and confirmed with a second
dataset corresponding to 492 individuals.
",D. Trejo Pizzo|S. Esteban|M. Scetta,NA,http://arxiv.org/abs/2104.13247v1,http://arxiv.org/pdf/2104.13247v1,NA,NA,NA,NA,eess.AS,eess.AS|cs.SD
2007.10162v2,2020-07-20T14:36:55Z,2020-07-21T14:17:44Z,"Inter-Mobile-Device Distance Estimation using Network Localization
  Algorithms for Digital Contact Logging Applications","Mobile applications are being developed for automated logging of contacts via
Bluetooth to help scale up digital contact tracing efforts in the context of
the ongoing COVID-19 pandemic. A useful component of such applications is
inter-device distance estimation, which can be formulated as a network
localization problem. We survey several approaches and evaluate the performance
of each on real and simulated Bluetooth Low Energy (BLE) measurement datasets
with respect to both distance estimate accuracy and the proximity detection
problem. We investigate the effects of obstructions like pockets, differences
between device models, and the environment (i.e. indoors or outdoors) on
performance. We conclude that while direct estimation can provide the best
proximity detection when Received Signal Strength Indicator (RSSI) measurements
are available, network localization algorithms like Isomap, Local Linear
Embedding, and the spring model outperform direct estimation in the presence of
missing or very noisy measurements. The spring model consistently achieves the
best distance estimation accuracy.
",Lillian Clark|Alan Papalia|Jônata Tyska Carvalho|Luca Mastrostefano|Bhaskar Krishnamachari,NA,http://arxiv.org/abs/2007.10162v2,http://arxiv.org/pdf/2007.10162v2,NA,"18 pages, 13 figures, corrected affiliations",NA,NA,eess.SP,eess.SP|cs.NI
2004.07696v1,2020-04-16T15:09:48Z,2020-04-16T15:09:48Z,"Rapidly evaluating lockdown strategies using spectral analysis: the
  cycles behind new daily COVID-19 cases and what happens after lockdown","Spectral analysis characterises oscillatory time series behaviours such as
cycles, but accurate estimation requires reasonable numbers of observations.
Current COVID-19 time series for many countries are short: pre- and
post-lockdown series are shorter still. Accurate estimation of potentially
interesting cycles within such series seems beyond reach. We solve the problem
of obtaining accurate estimates from short time series by using recent Bayesian
spectral fusion methods. Here we show that transformed new daily COVID-19 cases
for many countries generally contain three cycles operating at wavelengths of
around 2.7, 4.1 and 6.7 days (weekly). We show that the shorter cycles are
suppressed after lockdown. The pre- and post lockdown differences suggest that
the weekly effect is at least partly due to non-epidemic factors, whereas the
two shorter cycles seem intrinsic to the epidemic. Unconstrained, new cases
grow exponentially, but the internal cyclic structure causes periodic falls in
cases. This suggests that lockdown success might only be indicated by four or
more daily falls in cases. Spectral learning for epidemic time series
contributes to the understanding of the epidemic process, helping evaluate
interventions and assists with forecasting. Spectral fusion is a general
technique that is able to fuse spectra recorded at different sampling rates,
which can be applied to a wide range of time series from many disciplines.
",Guy P. Nason,NA,http://arxiv.org/abs/2004.07696v1,http://arxiv.org/pdf/2004.07696v1,NA,NA,NA,NA,q-bio.PE,q-bio.PE|stat.AP
2009.08363v2,2020-09-17T15:23:43Z,2020-09-18T18:58:49Z,"Functional data analysis: An application to COVID-19 data in the United
  States","The COVID-19 pandemic so far has caused huge negative impacts on different
areas all over the world, and the United States (US) is one of the most
affected countries. In this paper, we use methods from the functional data
analysis to look into the COVID-19 data in the US. We explore the modes of
variation of the data through a functional principal component analysis (FPCA),
and study the canonical correlation between confirmed and death cases. In
addition, we run a cluster analysis at the state level so as to investigate the
relation between geographical locations and the clustering structure. Lastly,
we consider a functional time series model fitted to the cumulative confirmed
cases in the US, and make forecasts based on the dynamic FPCA. Both point and
interval forecasts are provided, and the methods for assessing the accuracy of
the forecasts are also included.
",Chen Tang|Tiandong Wang|Panpan Zhang,NA,http://arxiv.org/abs/2009.08363v2,http://arxiv.org/pdf/2009.08363v2,NA,NA,NA,NA,stat.AP,stat.AP
2106.03211v2,2021-06-06T18:57:30Z,2021-06-10T22:04:36Z,Distributed Learning and its Application for Time-Series Prediction,"Extreme events are occurrences whose magnitude and potential cause extensive
damage on people, infrastructure, and the environment. Motivated by the extreme
nature of the current global health landscape, which is plagued by the
coronavirus pandemic, we seek to better understand and model extreme events.
Modeling extreme events is common in practice and plays an important role in
time-series prediction applications. Our goal is to (i) compare and investigate
the effect of some common extreme events modeling methods to explore which
method can be practical in reality and (ii) accelerate the deep learning
training process, which commonly uses deep recurrent neural network (RNN), by
implementing the asynchronous local Stochastic Gradient Descent (SGD) framework
among multiple compute nodes. In order to verify our distributed extreme events
modeling, we evaluate our proposed framework on a stock data set S\&P500, with
a standard recurrent neural network. Our intuition is to explore the (best)
extreme events modeling method which could work well under the distributed deep
learning setting. Moreover, by using asynchronous distributed learning, we aim
to significantly reduce the communication cost among the compute nodes and
central server, which is the main bottleneck of almost all distributed learning
frameworks.
  We implement our proposed work and evaluate its performance on representative
data sets, such as S&P500 stock in $5$-year period. The experimental results
validate the correctness of the design principle and show a significant
training duration reduction upto $8$x, compared to the baseline single compute
node. Our results also show that our proposed work can achieve the same level
of test accuracy, compared to the baseline setting.
",Nhuong V. Nguyen|Sybille Legitime,NA,http://arxiv.org/abs/2106.03211v2,http://arxiv.org/pdf/2106.03211v2,NA,"8 pages, 10 figures, and 2 tables",NA,NA,cs.LG,cs.LG|cs.DC|stat.ML
2003.11149v1,2020-03-24T23:27:58Z,2020-03-24T23:27:58Z,"Logistic approximations used to describe new outbreaks in the 2020
  COVID-19 pandemic","In this investigation I used the Logistic Model to fit the COVID-19 pandemic
data for some countries. The data modeled is the death numbers per day in
China, Iran, Italy, South Korea, Spain and United States. Considering the
current growth rate of the pandemic, it was possible to show that the death
toll should be between 3,277-3,327 deaths in China, 2,035-2,107 in Iran,
120-134 in South Korea, 11,227-12,793 in Italy and 6,217-7,405 in Spain. Also,
with this toy model it was possible to show a clear emergence of a new outbreak
within the same country (Iran, China and the United States). The growth rate of
deaths found for South Korea was the lowest among the countries studied
($0.14701\pm0.00923$) and for China ($0.16667\pm0.00284$). Italy
($0.22594\pm0.00599$) and Spain ($0.31213\pm0.02337$) had the highest rates and
in the second wave in Iran ($0.37893\pm0.02712$).
",Apiano F. Morais,NA,http://arxiv.org/abs/2003.11149v1,http://arxiv.org/pdf/2003.11149v1,NA,"5 figures, 1 table",NA,NA,q-bio.PE,q-bio.PE|physics.bio-ph
2008.05644v1,2020-08-09T16:47:45Z,2020-08-09T16:47:45Z,A Deep Learning Approach for COVID-19 Trend Prediction,"In this work, we developed a deep learning model-based approach to forecast
the spreading trend of SARS-CoV-2 in the United States. We implemented the
designed model using the United States to confirm cases and state demographic
data and achieved promising trend prediction results. The model incorporates
demographic information and epidemic time-series data through a Gated Recurrent
Unit structure. The identification of dominating demographic factors is
delivered in the end.
",Tong Yang|Long Sha|Justin Li|Pengyu Hong,NA,http://arxiv.org/abs/2008.05644v1,http://arxiv.org/pdf/2008.05644v1,NA,"7 pages, 11 figures, accepted by KDD 2020 epiDAMIK workshop",NA,NA,cs.CY,cs.CY|cs.LG|q-bio.PE
2103.14366v1,2021-03-26T10:11:54Z,2021-03-26T10:11:54Z,"Emergence of more contagious COVID-19 variants from the coevolution of
  viruses and policy interventions","At the end of 2020, policy responses to the SARS-CoV-2 outbreak have been
shaken by the emergence of virus variants. The emergence of these more
contagious, more severe, or even vaccine-resistant strains have challenged
worldwide policy interventions. Anticipating the emergence of these mutations
to plan ahead adequate policies, and understanding how human behaviors may
affect the evolution of viruses by coevolution, are key challenges. In this
article, we propose coevolution with genetic algorithms (GAs) as a credible
approach to model this relationship, highlighting its implications, potential
and challenges. We present a dual GA model in which both viruses aiming for
survival and policy measures aiming at minimising infection rates in the
population, competitively evolve. Simulation runs reproduce the emergence of
more contagious variants, and identifies the evolution of policy responses as a
determinant cause of this phenomenon. This coevolution opens new possibilities
to visualise the impact of governments interventions not only on outbreak
dynamics, but also on its evolution, to improve the efficacy of policies.
",Aymeric Vie,NA,http://arxiv.org/abs/2103.14366v1,http://arxiv.org/pdf/2103.14366v1,NA,arXiv admin note: text overlap with arXiv:2102.12365,NA,NA,q-bio.PE,q-bio.PE|physics.soc-ph
2103.04472v1,2021-03-07T22:35:08Z,2021-03-07T22:35:08Z,Causal Inference in the Time of Covid-19,"In this paper we develop statistical methods for causal inference in
epidemics. Our focus is in estimating the effect of social mobility on deaths
in the Covid-19 pandemic. We propose a marginal structural model motivated by a
modified version of a basic epidemic model. We estimate the counterfactual time
series of deaths under interventions on mobility. We conduct several types of
sensitivity analyses. We find that the data support the idea that reduced
mobility causes reduced deaths, but the conclusion comes with caveats. There is
evidence of sensitivity to model misspecification and unmeasured confounding
which implies that the size of the causal effect needs to be interpreted with
caution. While there is little doubt the the effect is real, our work
highlights the challenges in drawing causal inferences from pandemic data.
",Matteo Bonvini|Edward Kennedy|Valerie Ventura|Larry Wasserman,NA,http://arxiv.org/abs/2103.04472v1,http://arxiv.org/pdf/2103.04472v1,NA,NA,NA,NA,stat.ME,stat.ME|stat.AP
