id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements
1904.06825v1,2019-04-15T03:13:13Z,2019-04-15T03:13:13Z,"Performance Models for Data Transfers: A Case Study with Molecular
  Chemistry Kernels","With increasing complexity of hardwares, systems with different memory nodes
are ubiquitous in High Performance Computing (HPC). It is paramount to develop
strategies to overlap the data transfers between memory nodes with computations
in order to exploit the full potential of these systems. In this article, we
consider the problem of deciding the order of data transfers between two memory
nodes for a set of independent tasks with the objective to minimize the
makespan. We prove that with limited memory capacity, obtaining the optimal
order of data transfers is a NP-complete problem. We propose several heuristics
for this problem and provide details about their favorable situations. We
present an analysis of our heuristics on traces, obtained by running 2
molecular chemistry kernels, namely, Hartree-Fock (HF) and Coupled Cluster
Single Double (CCSD) on 10 nodes of an HPC system. Our results show that some
of our heuristics achieve significant overlap for moderate memory capacities
and are very close to the lower bound of makespan.
",Suraj Kumar|Lionel Eyraud-Dubois|Sriram Krishnamoorthy,NA,http://arxiv.org/abs/1904.06825v1,http://arxiv.org/pdf/1904.06825v1,http://dx.doi.org/10.1145/3337821.3337921,NA,https://www.hpcs.cs.tsukuba.ac.jp/icpp2019/,10.1145/3337821.3337921,cs.PF,cs.PF,1904.06825v1.txt,0,,0,,
1904.07404v2,2019-04-16T02:13:05Z,2019-04-18T13:09:43Z,"swTVM: Exploring the Automated Compilation for Deep Learning on Sunway
  Architecture","The flourish of deep learning frameworks and hardware platforms has been
demanding an efficient compiler that can shield the diversity in both software
and hardware in order to provide application portability. Among the exiting
deep learning compilers, TVM is well known for its efficiency in code
generation and optimization across diverse hardware devices. In the meanwhile,
the Sunway many-core processor renders itself as a competitive candidate for
its attractive computational power in both scientific and deep learning
applications. This paper combines the trends in these two directions.
Specifically, we propose swTVM that extends the original TVM to support
ahead-of-time compilation for architecture requiring cross-compilation such as
Sunway. In addition, we leverage the architecture features during the
compilation such as core group for massive parallelism, DMA for high bandwidth
memory transfer and local device memory for data locality, in order to generate
efficient code for deep learning application on Sunway. The experimental
results show the ability of swTVM to automatically generate code for various
deep neural network models on Sunway. The performance of automatically
generated code for AlexNet and VGG-19 by swTVM achieves 6.71x and 2.45x speedup
on average than hand-optimized OpenACC implementations on convolution and fully
connected layers respectively. This work is the first attempt from the compiler
perspective to bridge the gap of deep learning and high performance
architecture particularly with productivity and efficiency in mind. We would
like to open source the implementation so that more people can embrace the
power of deep learning compiler and Sunway many-core processor.
",Changxi Liu|Hailong Yang|Rujun Sun|Zhongzhi Luan|Lin Gan|Guangwen Yang|Depei Qian,NA,http://arxiv.org/abs/1904.07404v2,http://arxiv.org/pdf/1904.07404v2,NA,NA,NA,NA,cs.LG,cs.LG|cs.PL|stat.ML,1904.07404v2.txt,0,,0,,
1908.11808v1,2019-08-29T07:55:19Z,2019-08-29T07:55:19Z,"On the Ethereum Blockchain Structure: a Complex Networks Theory
  Perspective","In this paper, we analyze the Ethereum blockchain using the complex networks
modeling framework. Accounts acting on the blockchain are represented as nodes,
while the interactions among these accounts, recorded on the blockchain, are
treated as links in the network. Using this representation, it is possible to
derive interesting mathematical characteristics that improve the understanding
of the actual interactions happening in the blockchain. Not only, by looking at
the history of the blockchain, it is possible to verify if radical changes in
the blockchain evolution happened.
",Stefano Ferretti|Gabriele D'Angelo,NA,http://arxiv.org/abs/1908.11808v1,http://arxiv.org/pdf/1908.11808v1,http://dx.doi.org/10.1002/cpe.5493,NA,NA,10.1002/cpe.5493,cs.CR,cs.CR|cs.DC|cs.NI|cs.SI,1908.11808v1.txt,0,,0,,
1901.06203v2,2019-01-18T12:33:06Z,2019-07-14T20:40:30Z,"Routes to long-term atmospheric predictability in reduced-order coupled
  ocean-atmosphere systems -- Impact of the ocean basin boundary conditions","The predictability of the atmosphere at short and long time scales,
associated with the coupling to the ocean, is explored in a new version of the
Modular Arbitrary-Order Ocean-Atmosphere Model (MAOOAM), based on a 2-layer
quasi-geostrophic atmosphere and a 1-layer reduced-gravity quasi-geostrophic
ocean. This version features a new ocean basin geometry with periodic boundary
conditions in the zonal direction. The analysis presented in this paper
considers a low-order version of the model with 40 dynamical variables.
  First the increase of surface friction (and the associated heat flux) with
the ocean can either induce chaos when the aspect ratio between the meridional
and zonal directions of the domain of integration is small, or suppress chaos
when it is large. This reflects the potentially counter-intuitive role that the
ocean can play in the coupled dynamics.
  Second, and perhaps more importantly, the emergence of long-term
predictability within the atmosphere for specific values of the friction
coefficient occurs through intermittent excursions in the vicinity of a
(long-period) unstable periodic solution. Once close to this solution the
system is predictable for long times, i.e. a few years. The intermittent
transition close to this orbit is, however, erratic and probably hard to
predict.
  This new route to long-term predictability contrasts with the one found in
the closed ocean-basin low-order version of MAOOAM, in which the chaotic
solution is permanently wandering in the vicinity of an unstable periodic orbit
for specific values of the friction coefficient. The model solution is thus at
any time influenced by the unstable periodic orbit and inherits from its
long-term predictability.
",Stéphane Vannitsem|Roman Solé-Pomies|Lesley De Cruz,NA,http://arxiv.org/abs/1901.06203v2,http://arxiv.org/pdf/1901.06203v2,http://dx.doi.org/10.1002/qj.3594,"26 pages, 10 figures, 2 tables",NA,10.1002/qj.3594,physics.ao-ph,physics.ao-ph|nlin.CD,1901.06203v2.txt,0,,0,,
1910.01887v3,2019-10-04T11:59:13Z,2021-04-20T11:06:31Z,Breakup Dynamics of Capillary Bridges on Hydrophobic Stripes,"The breakup dynamics of a capillary bridge on a hydrophobic stripe between
two hydrophilic stripes is studied experimentally and numerically using direct
numerical simulations. The capillary bridge is formed from an evaporating water
droplet wetting three neighboring stripes of a chemically patterned surface. By
considering the breakup process in a phase space representation, the breakup
dynamics can be evaluated without the uncertainty in determining the precise
breakup time. The simulations are based on the Volume-of-Fluid (VOF) method
implemented in Free Surface 3D (FS3D). In order to construct physically
realistic initial data for the VOF simulation, Surface Evolver is employed to
calculate an initial configuration consistent with experiments. Numerical
instabilities at the contact line are reduced by a novel discretization of the
Navier-slip boundary condition on staggered grids. The breakup of the capillary
bridge cannot be characterized by a unique scaling relationship. Instead, at
different stages of the breakup process different scaling exponents apply, and
the structure of the bridge undergoes a qualitative change. In the final stage
of breakup, the capillary bridge forms a liquid thread that breaks up
consistently with the Rayleigh-Plateau instability.
",Maximilian Hartmann|Mathis Fricke|Lukas Weimar|Dirk Gründing|Tomislav Marić|Dieter Bothe|Steffen Hardt,NA,http://arxiv.org/abs/1910.01887v3,http://arxiv.org/pdf/1910.01887v3,http://dx.doi.org/10.1016/j.ijmultiphaseflow.2021.103582,"accepted manuscript, 28 pages, 19 figures",International Journal of Multiphase Flow 140 (2021) 103582,10.1016/j.ijmultiphaseflow.2021.103582,physics.flu-dyn,physics.flu-dyn,1910.01887v3.txt,0,,0,,
1910.06906v1,2019-10-14T14:53:11Z,2019-10-14T14:53:11Z,Deltoid tangents with evenly distributed orientations and random tilings,"We study the construction of substitution tilings of the plane based on
certain simplicial configurations of tangents of the deltoid with evenly
distributed orientations. The random tiling ensembles are obtained as a result
of tile rearrangements in the substitution rules associated to edge flips.
",Juan García Escudero,NA,http://arxiv.org/abs/1910.06906v1,http://arxiv.org/pdf/1910.06906v1,NA,"18 pages, 12 figures",NA,NA,math-ph,"math-ph|math.CO|math.MG|math.MP|52C20, 60D05",1910.06906v1.txt,0,,0,,
1909.03720v1,2019-09-09T09:34:11Z,2019-09-09T09:34:11Z,Asymmetric shocks in $χ$ Cyg observed with linear spectropolarimetry,"Aims: From a coherent interpretation of the linear polarisation detected in
the spectral lines of the Mira star $\chi$ Cyg, we derive information about the
dynamics of the stellar photosphere, including pulsation.
  Methods: From spectropolarimetric observations of $\chi$ Cyg, we perform
careful analysis of the polarisation signals observed in atomic and molecular
lines, both in absorption and emission, using the radiative transfer in the
polarisation context, through two mechanisms: intrinsic polarisation and
continuum depolarisation. We also explain the observed line doubling phenomenon
in terms of an expanding shell in spherical geometry, which allows us to
pinpoint the coordinates over the stellar disk with enhanced polarisation.
  Results: We find that the polarised spectrum of $\chi$ Cyg is dominated by
intrinsic polarisation, with a negligible continuum depolarisation.
  The observed polarised signals can only be explained by assuming that this
polarisation is locally enhanced by velocity fields.
  During the pulsation, radial velocities are not homogeneous over the disk.
  We map these regions of enhanced velocities.
  Conclusions: We have set an algorithm to distinguish in any stellar spectra
of linear polarisation the origin of this polarisation and the way to increase
signal by coherently adding many lines with an appropriated weight. Applied to
the Mira star $\chi$ Cyg, we reached the unexpected result that during the
pulsation, velocities are radial but not homogeneous over the disk. The reason
for these local velocity enhancements are probably related to the interplay
between the atmospheric pulsation dynamics and the underlying stellar
convection.
",A. López Ariste|B. Tessore|E. S. Carlín|Ph. Mathias|A. Lèbre|J. Morin|P. Petit|M. Aurière|D. Gillet|F. Herpin,NA,http://arxiv.org/abs/1909.03720v1,http://arxiv.org/pdf/1909.03720v1,http://dx.doi.org/10.1051/0004-6361/201936189,Accepted for publication in A&A,"A&A 632, A30 (2019)",10.1051/0004-6361/201936189,astro-ph.SR,astro-ph.SR,1909.03720v1.txt,0,,0,,
1907.11415v2,2019-07-26T07:56:06Z,2019-10-18T23:27:31Z,Crystal structures for canonical Grothendieck functions,"We give a $U_q(\mathfrak{sl}_n)$-crystal structure on multiset-valued
tableaux, hook-valued tableaux, and valued-set tableaux, whose generating
functions are the weak symmetric, canonical, and dual weak symmetric
Grothendieck functions, respectively. We show the result is isomorphic to a
(generally infinite) direct sum of highest weight crystals, and for
multiset-valued tableaux and valued-set tableaux, we provide an explicit
bijection. As a consequence, these generating functions are Schur positive; in
particular, the canonical Grothendieck functions, which was not previously
known. We also give an extension of Hecke insertion to express a dual stable
Grothendieck function as a sum of Schur functions.
",Graham Hawkes|Travis Scrimshaw,NA,http://arxiv.org/abs/1907.11415v2,http://arxiv.org/pdf/1907.11415v2,http://dx.doi.org/10.5802/alco.111,"30 pages, 1 figure; v2 fixed uncrowding map, added inflation map and
  some additional details to proofs","Algebraic Combin., volume 3, issue 3, (2020), p. 727--755",10.5802/alco.111,math.CO,"math.CO|math.KT|math.QA|math.RT|05E05, 05A19, 14M15, 17B37",1907.11415v2.txt,0,,0,,
1909.12291v1,2019-09-26T17:53:26Z,2019-09-26T17:53:26Z,Exascale Deep Learning to Accelerate Cancer Research,"Deep learning, through the use of neural networks, has demonstrated
remarkable ability to automate many routine tasks when presented with
sufficient data for training. The neural network architecture (e.g. number of
layers, types of layers, connections between layers, etc.) plays a critical
role in determining what, if anything, the neural network is able to learn from
the training data. The trend for neural network architectures, especially those
trained on ImageNet, has been to grow ever deeper and more complex. The result
has been ever increasing accuracy on benchmark datasets with the cost of
increased computational demands. In this paper we demonstrate that neural
network architectures can be automatically generated, tailored for a specific
application, with dual objectives: accuracy of prediction and speed of
prediction. Using MENNDL--an HPC-enabled software stack for neural architecture
search--we generate a neural network with comparable accuracy to
state-of-the-art networks on a cancer pathology dataset that is also $16\times$
faster at inference. The speedup in inference is necessary because of the
volume and velocity of cancer pathology data; specifically, the previous
state-of-the-art networks are too slow for individual researchers without
access to HPC systems to keep pace with the rate of data generation. Our new
model enables researchers with modest computational resources to analyze newly
generated data faster than it is collected.
",Robert M. Patton|J. Travis Johnston|Steven R. Young|Catherine D. Schuman|Thomas E. Potok|Derek C. Rose|Seung-Hwan Lim|Junghoon Chae|Le Hou|Shahira Abousamra|Dimitris Samaras|Joel Saltz,NA,http://arxiv.org/abs/1909.12291v1,http://arxiv.org/pdf/1909.12291v1,NA,Submitted to IEEE Big Data,NA,NA,cs.LG,cs.LG|cs.DC|stat.ML,1909.12291v1.txt,0,,0,,
1904.04680v3,2019-04-09T14:03:00Z,2019-12-20T08:02:20Z,"A method for computing driving and detuning beam coupling impedances of
  an asymmetric cavity using eigenmode simulations","We propose a method for numerical calculation of driving and detuning
transverse beam coupling impedances of an asymmetric cavity. The method relies
on eigenmode simulations and can be viewed as an alternative to time domain
wakefield simulations. A similar procedure is well-established for symmetric
cavities, and this paper extends it to the case of an asymmetric cavity. The
method is benchmarked with time-domain wakefield simulations and its practical
implementation is discussed.
",S. Arsenyev|B. Salvant,NA,http://arxiv.org/abs/1904.04680v3,http://arxiv.org/pdf/1904.04680v3,http://dx.doi.org/10.1103/PhysRevAccelBeams.22.121002,NA,"Phys. Rev. Accel. Beams 22, 121002 (2019)",10.1103/PhysRevAccelBeams.22.121002,physics.acc-ph,physics.acc-ph,1904.04680v3.txt,0,,0,,
1911.11864v2,2019-11-26T22:20:39Z,2020-01-14T03:47:40Z,Fréchet Change Point Detection,"We propose a method to infer the presence and location of change-points in
the distribution of a sequence of independent data taking values in a general
metric space, where change-points are viewed as locations at which the
distribution of the data sequence changes abruptly in terms of either its
Fr\'echet mean or Fr\'echet variance or both. The proposed method is based on
comparisons of Fr\'echet variances before and after putative change-point
locations and does not require a tuning parameter except for the specification
of cut-off intervals near the endpoints where change-points are assumed not to
occur. Our results include theoretical guarantees for consistency of the test
under contiguous alternatives when a change-point exists and also for
consistency of the estimated location of the change-point if it exists, where
under the null hypothesis of no change-point the limit distribution of the
proposed scan function is the square of a standardized Brownian Bridge. These
consistency results are applicable for a broad class of metric spaces under
mild entropy conditions. Examples include the space of univariate probability
distributions and the space of graph Laplacians for networks. Simulation
studies demonstrate the effectiveness of the proposed methods, both for
inferring the presence of a change-point and estimating its location. We also
develop theory that justifies bootstrap-based inference and illustrate the new
approach with sequences of maternal fertility distributions and communication
networks.
",Paromita Dubey|Hans-Georg Müller,NA,http://arxiv.org/abs/1911.11864v2,http://arxiv.org/pdf/1911.11864v2,NA,NA,NA,NA,stat.ME,stat.ME|math.ST|stat.TH,1911.11864v2.txt,0,,0,,
1911.04802v1,2019-11-12T11:42:13Z,2019-11-12T11:42:13Z,"Performance Bounds of Nanoparticles Laden Volumetric Absorption Solar
  Thermal Platforms in Laminar Flow Regime","Recent success in synthesizing thermally stable nanofluids at low costs is a
significant breakthrough in the evolution of volumetric absorption based solar
thermal systems. However, we have yet not been able to clearly identify the
range of operating and design parameters in which volumetric absorption could
prove to be beneficial. One of the key reasons being that we have not been able
to fully understand the heat transfer mechanisms involved in these novel
systems. The present work takes a few steps further in this direction wherein
we have developed a comprehensive and mechanistic theoretical framework which
is robust enough to account for coupled transport phenomena and orders of
magnitudes of operating parameters for host of receiver design configurations.
Moreover, we have also modeled equivalent surface absorption based systems to
provide a comparison between volumetric and surface absorption processes under
similar operating conditions. Performance characteristics reveal that
particularly at high solar concentration ratios, volumetric absorption-based
receivers could have 35% - 49% higher thermal efficiencies compared to their
surface absorption-based counterparts. Finally, the present work serves to
define optimal performance domains of these solar thermal systems, particularly
in the laminar flow regime (200 < Re < 1600) and over a wide range of solar
concentration ratios (5-100) and inlet fluid temperatures (293-593K).
",Apoorva Singh|Manish Kumar|Vikrant Khullar,NA,http://arxiv.org/abs/1911.04802v1,http://arxiv.org/pdf/1911.04802v1,NA,"40 pages, 22 figures. To be submitted to a Journal",NA,NA,physics.app-ph,physics.app-ph,1911.04802v1.txt,0,,0,,
